PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
31CasamentoExato;0.7;39;40;98%;68;205;33%
31CasamentoExato;0.7;39;40;98%;68;205;33%
31CasamentoExato;0.7;39;40;98%;68;205;33%
31CasamentoExato;0.8;39;40;98%;63;205;31%
31CasamentoExato;0.8;39;40;98%;62;205;30%
31CasamentoExato;0.8;39;40;98%;70;205;34%
31CasamentoExato;0.9;39;40;98%;62;205;30%
31CasamentoExato;0.9;39;40;98%;66;205;32%
31CasamentoExato;0.9;39;40;98%;64;205;31%
31CasamentoExato;1.0;39;40;98%;62;205;30%
31CasamentoExato;1.0;39;40;98%;63;205;31%
31CasamentoExato;0.6;39;40;98%;64;205;31%
31CasamentoExato;0.6;39;40;98%;64;205;31%
31CasamentoExato;0.6;39;40;98%;66;205;32%
31CasamentoExato;0.5;39;40;98%;63;205;31%
31CasamentoExato;0.5;39;40;98%;64;205;31%
31CasamentoExato;0.5;39;40;98%;70;205;34%
31CasamentoExato;0.4;39;40;98%;64;205;31%
31CasamentoExato;0.4;39;40;98%;66;205;32%
31CasamentoExato;0.4;39;40;98%;64;205;31%
31CasamentoExato;0.3;39;40;98%;70;205;34%
31CasamentoExato;0.3;39;40;98%;68;205;33%
31CasamentoExato;0.3;39;40;98%;63;205;31%
31CasamentoExato;0.2;39;40;98%;70;205;34%
31CasamentoExato;0.2;39;40;98%;63;205;31%
31CasamentoExato;0.2;39;40;98%;64;205;31%
31CasamentoExato;0.1;39;40;98%;70;205;34%
31CasamentoExato;0.1;39;40;98%;70;205;34%
31CasamentoExato;0.1;39;40;98%;64;205;31%
31CasamentoExato;0.0;39;40;98%;70;205;34%
31CasamentoExato;0.0;39;40;98%;70;205;34%
31CasamentoExato;0.0;39;40;98%;70;205;34%
31CasamentoExato;0.0;0;40;0%;0;205;0%
