PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
22TabelaHash;0.7;29;35;83%;42;89;47%
22TabelaHash;0.7;34;35;97%;50;89;56%
22TabelaHash;0.8;34;35;97%;49;89;55%
22TabelaHash;0.8;34;35;97%;49;89;55%
22TabelaHash;0.9;34;35;97%;50;89;56%
22TabelaHash;0.9;34;35;97%;48;89;54%
22TabelaHash;1.0;29;35;83%;42;89;47%
22TabelaHash;1.0;34;35;97%;49;89;55%
22TabelaHash;0.6;29;35;83%;52;89;58%
22TabelaHash;0.5;34;35;97%;59;89;66%
22TabelaHash;0.5;34;35;97%;61;89;69%
22TabelaHash;0.4;34;35;97%;62;89;70%
22TabelaHash;0.3;34;35;97%;58;89;65%
22TabelaHash;0.3;34;35;97%;58;89;65%
22TabelaHash;0.3;34;35;97%;50;89;56%
22TabelaHash;0.2;29;35;83%;54;89;61%
22TabelaHash;0.1;34;35;97%;56;89;63%
22TabelaHash;0.0;29;35;83%;56;89;63%
22TabelaHash;0.0;0;35;0%;0;89;0%
