PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
21ArvoreBinaria;0.8;24;48;50%;66;160;41%
21ArvoreBinaria;0.8;32;48;67%;61;160;38%
21ArvoreBinaria;0.8;34;48;71%;64;160;40%
21ArvoreBinaria;0.9;34;48;71%;74;160;46%
21ArvoreBinaria;0.9;29;48;60%;18;160;11%
21ArvoreBinaria;0.9;34;48;71%;77;160;48%
21ArvoreBinaria;1.0;21;48;44%;36;160;23%
21ArvoreBinaria;1.0;28;48;58%;73;160;46%
21ArvoreBinaria;1.0;38;48;79%;56;160;35%
21ArvoreBinaria;0.6;33;48;69%;47;160;29%
21ArvoreBinaria;0.6;23;48;48%;50;160;31%
21ArvoreBinaria;0.6;33;48;69%;68;160;43%
21ArvoreBinaria;0.5;33;48;69%;67;160;42%
21ArvoreBinaria;0.5;33;48;69%;66;160;41%
21ArvoreBinaria;0.4;33;48;69%;66;160;41%
21ArvoreBinaria;0.4;33;48;69%;72;160;45%
21ArvoreBinaria;0.4;38;48;79%;79;160;49%
21ArvoreBinaria;0.3;33;48;69%;72;160;45%
21ArvoreBinaria;0.3;33;48;69%;66;160;41%
21ArvoreBinaria;0.3;28;48;58%;73;160;46%
21ArvoreBinaria;0.2;33;48;69%;66;160;41%
21ArvoreBinaria;0.2;33;48;69%;66;160;41%
21ArvoreBinaria;0.2;33;48;69%;66;160;41%
21ArvoreBinaria;0.1;33;48;69%;66;160;41%
21ArvoreBinaria;0.1;33;48;69%;72;160;45%
21ArvoreBinaria;0.1;33;48;69%;66;160;41%
21ArvoreBinaria;0.0;33;48;69%;66;160;41%
21ArvoreBinaria;0.0;33;48;69%;66;160;41%
21ArvoreBinaria;0.0;33;48;69%;66;160;41%
21ArvoreBinaria;0.0;0;48;0%;0;160;0%
