PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
25Grafo;0.7;27;34;79%;69;109;63%
25Grafo;0.9;27;34;79%;69;109;63%
25Grafo;0.9;27;34;79%;68;109;62%
25Grafo;0.9;27;34;79%;68;109;62%
25Grafo;0.6;26;34;76%;65;109;60%
25Grafo;0.6;27;34;79%;67;109;61%
25Grafo;0.4;26;34;76%;61;109;56%
25Grafo;0.3;27;34;79%;68;109;62%
25Grafo;0.3;26;34;76%;67;109;61%
25Grafo;0.3;27;34;79%;68;109;62%
25Grafo;0.2;27;34;79%;68;109;62%
25Grafo;0.0;27;34;79%;68;109;62%
25Grafo;0.0;27;34;79%;68;109;62%
25Grafo;0.0;0;34;0%;0;109;0%
