PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
07Fibonacci;0.8;5;6;83%;12;12;100%
07Fibonacci;0.8;5;6;83%;12;12;100%
07Fibonacci;0.8;5;6;83%;12;12;100%
07Fibonacci;0.9;5;6;83%;12;12;100%
07Fibonacci;1.0;5;6;83%;12;12;100%
07Fibonacci;1.0;5;6;83%;12;12;100%
07Fibonacci;0.6;5;6;83%;12;12;100%
07Fibonacci;0.6;5;6;83%;12;12;100%
07Fibonacci;0.5;5;6;83%;12;12;100%
07Fibonacci;0.4;5;6;83%;12;12;100%
07Fibonacci;0.4;5;6;83%;12;12;100%
07Fibonacci;0.3;5;6;83%;12;12;100%
07Fibonacci;0.0;0;6;0%;0;12;0%
