PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
12Lista;0.7;12;12;100%;16;23;70%
12Lista;0.7;12;12;100%;16;23;70%
12Lista;0.7;12;12;100%;20;23;87%
12Lista;0.8;12;12;100%;16;23;70%
12Lista;0.8;12;12;100%;20;23;87%
12Lista;0.8;12;12;100%;16;23;70%
12Lista;0.9;5;12;42%;8;23;35%
12Lista;0.9;12;12;100%;20;23;87%
12Lista;1.0;12;12;100%;17;23;74%
12Lista;0.6;12;12;100%;17;23;74%
12Lista;0.6;12;12;100%;16;23;70%
12Lista;0.5;12;12;100%;16;23;70%
12Lista;0.5;12;12;100%;16;23;70%
12Lista;0.4;12;12;100%;16;23;70%
12Lista;0.4;12;12;100%;17;23;74%
12Lista;0.4;12;12;100%;16;23;70%
12Lista;0.3;12;12;100%;16;23;70%
12Lista;0.3;12;12;100%;17;23;74%
12Lista;0.2;12;12;100%;16;23;70%
12Lista;0.2;12;12;100%;16;23;70%
12Lista;0.2;12;12;100%;16;23;70%
12Lista;0.1;12;12;100%;16;23;70%
12Lista;0.1;12;12;100%;16;23;70%
12Lista;0.1;12;12;100%;16;23;70%
12Lista;0.0;12;12;100%;16;23;70%
12Lista;0.0;12;12;100%;16;23;70%
12Lista;0.0;12;12;100%;16;23;70%
12Lista;0.0;0;12;0%;0;23;0%
