PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
24Grafo;0.8;32;42;76%;86;143;60%
24Grafo;0.8;42;42;100%;100;143;70%
24Grafo;0.9;25;42;60%;53;143;37%
24Grafo;0.9;32;42;76%;82;143;57%
24Grafo;1.0;32;42;76%;82;143;57%
24Grafo;0.6;32;42;76%;85;143;59%
24Grafo;0.6;32;42;76%;82;143;57%
24Grafo;0.5;32;42;76%;86;143;60%
24Grafo;0.5;32;42;76%;82;143;57%
24Grafo;0.4;32;42;76%;82;143;57%
24Grafo;0.4;32;42;76%;82;143;57%
24Grafo;0.4;32;42;76%;82;143;57%
24Grafo;0.3;32;42;76%;84;143;59%
24Grafo;0.3;32;42;76%;84;143;59%
24Grafo;0.2;32;42;76%;84;143;59%
24Grafo;0.2;32;42;76%;84;143;59%
24Grafo;0.2;32;42;76%;84;143;59%
24Grafo;0.1;32;42;76%;84;143;59%
24Grafo;0.1;32;42;76%;84;143;59%
24Grafo;0.1;32;42;76%;83;143;58%
24Grafo;0.0;32;42;76%;83;143;58%
24Grafo;0.0;32;42;76%;83;143;58%
24Grafo;0.0;32;42;76%;84;143;59%
24Grafo;0.0;0;42;0%;0;143;0%
