clazz: Max; tentativas: 1 
clazz: MaxMin; tentativas: 1 
clazz: MaxMin; tentativas: 1 
clazz: MaxMin; tentativas: 1 
clazz: Ordenacao; tentativas: 1 
clazz: Fibonacci; tentativas: 5 
clazz: Fibonacci; tentativas: 4 
clazz: MaxMin4; tentativas: 6 
clazz: Ordenacao; tentativas: 6 
clazz: AvaliaMultMatrizes; tentativas: 6 
clazz: Lista; tentativas: 6 
clazz: Lista; tentativas: 6 
clazz: Pilha; tentativas: 6 
clazz: Pilha; tentativas: 6 
clazz: Fila; tentativas: 6 
clazz: Fila; tentativas: 3 
clazz: Ordenacao; tentativas: 6 
clazz: FPHeapMax; tentativas: 6 
clazz: FPHeapMin; tentativas: 4 
clazz: Tabela; tentativas: 1 
clazz: ArvoreBinaria; tentativas: 1 
clazz: TabelaHash; tentativas: 2 
clazz: TabelaHash; tentativas: 6 
clazz: Grafo; tentativas: 1 
clazz: Grafo; tentativas: 1 
clazz: Grafo; tentativas: 2 
clazz: Grafo; tentativas: 6 
clazz: Grafo; tentativas: 6 
clazz: Grafo; tentativas: 3 
clazz: AgmPrim; tentativas: 6 
clazz: CasamentoExato; tentativas: 1 
clazz: CasamentoAproximado; tentativas: 1 
clazz: Identifier; tentativas: 6 
